TStamp Europe/Helsinki	X [m/s²]	Y [m/s²]	Z [m/s²]
1570546292989	0,333426	0,078453	9,945437
1570546292994	0,333426	0,156906	10,023134
1570546292999	0,294199	0,039227	10,061987
1570546293004	0,333426	0,078453	10,023134
1570546293009	0,294199	0,117680	9,945437
1570546293014	0,254973	0,078453	10,023134
1570546293019	0,333426	0,078453	10,100849
1570546293024	0,294199	0,039227	10,100849
1570546293029	0,333426	0,078453	10,100849
1570546293034	0,254973	0,078453	10,023134
1570546293039	0,176520	0,117680	9,984290
1570546293044	0,176520	0,117680	9,945437
1570546293049	0,137293	0,117680	9,945437
1570546293054	0,254973	0,039227	9,984290
1570546293059	0,333426	0,039227	9,945437
1570546293064	0,333426	0,117680	9,945437
1570546293069	0,411879	0,156906	9,984290
1570546293074	0,411879	0,039227	10,023134
1570546293079	0,333426	0,000000	9,945437
1570546293084	0,333426	0,000000	9,867741
